empty_wells	matrix	condition	baculosome	MgCl2_mM	buffer_ionic_strength_M	fc
FALSE	77% DMSO|23% DMA(+HATU/DIPEA)	CYP3A4 (+1.3% sim crude)	CYP3A4	10	0.01	12.7471132759176
TRUE	NA	NA	NA	NA	NA	NA
TRUE	NA	NA	NA	NA	NA	NA
TRUE	NA	NA	NA	NA	NA	NA
TRUE	NA	NA	NA	NA	NA	NA
FALSE	DMA	DMA	CYP3A4	0	0.1	32.8488894032713
FALSE	DMA	DMA	CYP3A4	0	0.1	27.3389783323376
FALSE	DMA	DMA	CYP3A4	0	0.1	26.0180861013535
FALSE	DMA	DMA	CYP3A4	0	0.1	24.6221468721555
FALSE	DMA	DMA	CYP3A4	0	0.1	24.5484261463341
FALSE	DMA	DMA	CYP3A4	0	0.1	25.3680749969502
FALSE	DMA	DMA	CYP3A4	0	0.1	28.0990950693321
FALSE	DMA	DMA	CYP3A4	0	0.1	24.9566177551589
FALSE	DMA	DMA	CYP3A4	0	0.1	27.4068184164183
FALSE	DMA	DMA	CYP3A4	0	0.1	27.9376026375304
FALSE	DMA	DMA	CYP3A4	0	0.1	27.2749606653884
FALSE	DMA	DMA	CYP3A4	0	0.1	23.6188593431824
FALSE	DMA	DMA	CYP3A4	0	0.1	29.6794987691316
FALSE	DMA	DMA	CYP3A4	0	0.1	25.8299556136669
FALSE	DMA	DMA	CYP3A4	0	0.1	24.4940114422274
FALSE	DMA	DMA	CYP3A4	0	0.1	26.2277685154195
FALSE	DMA	DMA	CYP3A4	0	0.1	23.7007879434332
FALSE	DMA	DMA	CYP3A4	0	0.1	25.8276846849947
FALSE	DMA	DMA	CYP3A4	0	0.1	23.6164007344546
FALSE	DMA	DMA	CYP3A4	0	0.1	19.2667402789551
FALSE	DMA	DMA	CYP3A4	0	0.1	20.7563443678779
FALSE	DMA	DMA	CYP3A4	0	0.1	16.0040413771962
FALSE	DMA	DMA	CYP3A4	0	0.1	13.5693430885256
FALSE	DMA	DMA	CYP3A4	0	0.1	9.83239545438905
FALSE	DMA	DMA	CYP3A4	0	0.1	30.4834700791071
FALSE	DMA	DMA	CYP3A4	0	0.1	26.5078121823124
FALSE	DMA	DMA	CYP3A4	0	0.1	25.9055343720382
FALSE	DMA	DMA	CYP3A4	0	0.1	26.9137516304705
FALSE	DMA	DMA	CYP3A4	0	0.1	24.9407525344627
FALSE	DMA	DMA	CYP3A4	0	0.1	25.3016863052991
FALSE	DMA	DMA	CYP3A4	0	0.1	27.2265204430501
FALSE	DMA	DMA	CYP3A4	0	0.1	23.9816448905669
FALSE	DMA	DMA	CYP3A4	0	0.1	27.0147672923711
FALSE	DMA	DMA	CYP3A4	0	0.1	27.1544012537028
FALSE	DMA	DMA	CYP3A4	0	0.1	29.9083120368604
FALSE	DMA	DMA	CYP3A4	0	0.1	28.7834328558961
FALSE	DMA	DMA	CYP3A4	0	0.1	25.7013322155943
FALSE	DMA	DMA	CYP3A4	0	0.1	27.8636191596313
FALSE	DMA	DMA	CYP3A4	0	0.1	27.5181627373762
FALSE	DMA	DMA	CYP3A4	0	0.1	24.4752059006609
FALSE	DMA	DMA	CYP3A4	0	0.1	20.9865277000122
FALSE	DMA	DMA	CYP3A4	0	0.1	22.6020463382057
FALSE	DMA	DMA	CYP3A4	0	0.1	21.3175890620064
FALSE	DMA	DMA	CYP3A4	0	0.1	18.8942266486911
FALSE	DMA	DMA	CYP3A4	0	0.1	20.4943805463366
FALSE	DMA	DMA	CYP3A4	0	0.1	16.9909006453066
FALSE	DMA	DMA	CYP3A4	0	0.1	14.0633920667641
FALSE	DMA	DMA	CYP3A4	0	0.1	10.5381099992806
FALSE	Acetonitrile	Acetonitrile	CYP3A4	0	0.1	29.6571398185134
FALSE	Acetonitrile	Acetonitrile	CYP3A4	0	0.1	26.0705364208788
FALSE	Acetonitrile	Acetonitrile	CYP3A4	0	0.1	24.4950124025237
FALSE	Acetonitrile	Acetonitrile	CYP3A4	0	0.1	26.688979739938
FALSE	Acetonitrile	Acetonitrile	CYP3A4	0	0.1	24.4087796729988
FALSE	Acetonitrile	Acetonitrile	CYP3A4	0	0.1	26.4426559230262
FALSE	Acetonitrile	Acetonitrile	CYP3A4	0	0.1	26.7757880216333
FALSE	Acetonitrile	Acetonitrile	CYP3A4	0	0.1	24.2800874589059
FALSE	Acetonitrile	Acetonitrile	CYP3A4	0	0.1	25.1027329344089
FALSE	Acetonitrile	Acetonitrile	CYP3A4	0	0.1	25.8017598133209
FALSE	Acetonitrile	Acetonitrile	CYP3A4	0	0.1	26.3737272946233
FALSE	Acetonitrile	Acetonitrile	CYP3A4	0	0.1	25.6014676580344
FALSE	Acetonitrile	Acetonitrile	CYP3A4	0	0.1	28.2906913820446
FALSE	Acetonitrile	Acetonitrile	CYP3A4	0	0.1	25.1309475027605
FALSE	Acetonitrile	Acetonitrile	CYP3A4	0	0.1	25.6547124897949
FALSE	Acetonitrile	Acetonitrile	CYP3A4	0	0.1	22.8108904480236
FALSE	Acetonitrile	Acetonitrile	CYP3A4	0	0.1	19.9678191264745
FALSE	Acetonitrile	Acetonitrile	CYP3A4	0	0.1	21.473219620073
FALSE	Acetonitrile	Acetonitrile	CYP3A4	0	0.1	19.8385888962223
FALSE	Acetonitrile	Acetonitrile	CYP3A4	0	0.1	17.5399085998129
FALSE	Acetonitrile	Acetonitrile	CYP3A4	0	0.1	11.6977537825351
FALSE	Acetonitrile	Acetonitrile	CYP3A4	0	0.1	11.534334502163
FALSE	Acetonitrile	Acetonitrile	CYP3A4	0	0.1	5.46786448248789
FALSE	Acetonitrile	Acetonitrile	CYP3A4	0	0.1	4.88040088459866
FALSE	Acetonitrile	Acetonitrile	CYP3A4	0	0.1	28.409236361134
FALSE	Acetonitrile	Acetonitrile	CYP3A4	0	0.1	28.7579271363464
FALSE	Acetonitrile	Acetonitrile	CYP3A4	0	0.1	25.1061987594348
FALSE	Acetonitrile	Acetonitrile	CYP3A4	0	0.1	24.5451104653527
FALSE	Acetonitrile	Acetonitrile	CYP3A4	0	0.1	24.6798021852214
FALSE	Acetonitrile	Acetonitrile	CYP3A4	0	0.1	23.7012759115777
FALSE	Acetonitrile	Acetonitrile	CYP3A4	0	0.1	27.7649620104288
FALSE	Acetonitrile	Acetonitrile	CYP3A4	0	0.1	24.8175718580013
FALSE	Acetonitrile	Acetonitrile	CYP3A4	0	0.1	25.6155311501972
FALSE	Acetonitrile	Acetonitrile	CYP3A4	0	0.1	24.3110984600851
FALSE	Acetonitrile	Acetonitrile	CYP3A4	0	0.1	25.7822911355582
FALSE	Acetonitrile	Acetonitrile	CYP3A4	0	0.1	24.6081709640186
FALSE	Acetonitrile	Acetonitrile	CYP3A4	0	0.1	29.6965401181759
FALSE	Acetonitrile	Acetonitrile	CYP3A4	0	0.1	25.8903135195328
FALSE	Acetonitrile	Acetonitrile	CYP3A4	0	0.1	27.5682858242126
FALSE	Acetonitrile	Acetonitrile	CYP3A4	0	0.1	27.1197117234347
FALSE	Acetonitrile	Acetonitrile	CYP3A4	0	0.1	24.2607751811895
FALSE	Acetonitrile	Acetonitrile	CYP3A4	0	0.1	27.4600882721861
FALSE	Acetonitrile	Acetonitrile	CYP3A4	0	0.1	26.0026337767796
FALSE	Acetonitrile	Acetonitrile	CYP3A4	0	0.1	24.3383370921478
FALSE	Acetonitrile	Acetonitrile	CYP3A4	0	0.1	23.8931912803846
FALSE	Acetonitrile	Acetonitrile	CYP3A4	0	0.1	23.6607682995874
FALSE	Acetonitrile	Acetonitrile	CYP3A4	0	0.1	15.5265770598668
FALSE	Acetonitrile	Acetonitrile	CYP3A4	0	0.1	8.0931330995674
TRUE	NA	NA	NA	NA	NA	NA
TRUE	NA	NA	NA	NA	NA	NA
TRUE	NA	NA	NA	NA	NA	NA
TRUE	NA	NA	NA	NA	NA	NA
TRUE	NA	NA	NA	NA	NA	NA
TRUE	NA	NA	NA	NA	NA	NA
TRUE	NA	NA	NA	NA	NA	NA
TRUE	NA	NA	NA	NA	NA	NA
TRUE	NA	NA	NA	NA	NA	NA
TRUE	NA	NA	NA	NA	NA	NA
TRUE	NA	NA	NA	NA	NA	NA
TRUE	NA	NA	NA	NA	NA	NA
TRUE	NA	NA	NA	NA	NA	NA
TRUE	NA	NA	NA	NA	NA	NA
TRUE	NA	NA	NA	NA	NA	NA
TRUE	NA	NA	NA	NA	NA	NA
TRUE	NA	NA	NA	NA	NA	NA
TRUE	NA	NA	NA	NA	NA	NA
TRUE	NA	NA	NA	NA	NA	NA
TRUE	NA	NA	NA	NA	NA	NA
TRUE	NA	NA	NA	NA	NA	NA
TRUE	NA	NA	NA	NA	NA	NA
TRUE	NA	NA	NA	NA	NA	NA
TRUE	NA	NA	NA	NA	NA	NA
TRUE	NA	NA	NA	NA	NA	NA
TRUE	NA	NA	NA	NA	NA	NA
TRUE	NA	NA	NA	NA	NA	NA
TRUE	NA	NA	NA	NA	NA	NA
TRUE	NA	NA	NA	NA	NA	NA
TRUE	NA	NA	NA	NA	NA	NA
TRUE	NA	NA	NA	NA	NA	NA
TRUE	NA	NA	NA	NA	NA	NA
TRUE	NA	NA	NA	NA	NA	NA
TRUE	NA	NA	NA	NA	NA	NA
TRUE	NA	NA	NA	NA	NA	NA
TRUE	NA	NA	NA	NA	NA	NA
