DMSO_percent	total_volume	time_min	percent_volume
11.4894	5	150	0.55774998921152
11.4894	5	150	0.577204710695468
11.4894	5	20	0.944286665307567
11.4894	5	20	0.937336012852803
11.4894	5	33	0.906059997708376
11.4894	5	33	0.89758363439206
11.4894	5	40	0.884303330510963
11.4894	5	40	0.877860506539618
11.4894	5	52	0.851159996369114
11.4894	5	52	0.84779924959313
11.4894	5	62	0.822896662346313
11.4894	5	62	0.823673897045912
11.4894	5	70	0.797886661736206
11.4894	5	70	0.79686751080621
11.4894	5	80	0.764743327594357
11.4894	5	80	0.766040808616886
11.4894	5	90	0.737089993586434
11.4894	5	90	0.74000036145566
12.766	5	0	1
12.766	5	0	1
12.766	5	10	0.972802826858666
12.766	5	10	0.96512887479031
12.766	5	100	0.728317412504874
12.766	5	100	0.729834027427743
12.766	5	110	0.704878826405484
12.766	5	110	0.705738792334383
12.766	5	120	0.674961281546914
12.766	5	120	0.677867067983682
12.766	5	150	0.586161435024025
12.766	5	150	0.602321919180872
12.766	5	20	0.942504166778968
12.766	5	20	0.935626378058851
12.766	5	33	0.906679335992909
12.766	5	33	0.90013301273888
12.766	5	40	0.889719708652701
12.766	5	40	0.880271602636
12.766	5	52	0.858849375741308
12.766	5	52	0.852501960918152
12.766	5	62	0.832361867872894
12.766	5	62	0.831429611692811
12.766	5	70	0.810638300268582
12.766	5	70	0.807514319842954
12.766	5	80	0.778624621693807
12.766	5	80	0.778383920330221
12.766	5	90	0.757663284531751
12.766	5	90	0.755907246885901
14.0426	5	0	1
14.0426	5	0	1
14.0426	5	10	0.973324082845957
14.0426	5	10	0.964503938615035
14.0426	5	100	0.72442952353316
14.0426	5	100	0.728090182979371
14.0426	5	110	0.701017699141365
14.0426	5	110	0.701658796862804
14.0426	5	120	0.672808369751248
14.0426	5	120	0.676313932712978
14.0426	5	150	0.591826485379622
14.0426	5	150	0.604504197913855
14.0426	5	20	0.943579551856379
14.0426	5	20	0.935682688347856
14.0426	5	33	0.907502314269019
14.0426	5	33	0.900689025774367
14.0426	5	40	0.88831229427574
14.0426	5	40	0.879026668851317
14.0426	5	52	0.855881160487108
14.0426	5	52	0.851068508880109
14.0426	5	62	0.830742234295913
14.0426	5	62	0.828203353556416
14.0426	5	70	0.806754709304318
14.0426	5	70	0.804306407162869
14.0426	5	80	0.778737280114132
14.0426	5	80	0.776607801184792
14.0426	5	90	0.753598353922942
14.0426	5	90	0.754340404281543
15.3191	5	0	1
15.3191	5	0	1
15.3191	5	10	0.975373667012197
15.3191	5	10	0.964192131454265
15.3191	5	100	0.735029645173674
15.3191	5	100	0.739004909003242
15.3191	5	110	0.711455231548364
15.3191	5	110	0.713533227584278
15.3191	5	120	0.685197551331556
15.3191	5	120	0.687880767069474
15.3191	5	150	0.606616172580524
15.3191	5	150	0.617573500601068
15.3191	5	20	0.943366129813605
15.3191	5	20	0.934799378309411
15.3191	5	33	0.911933578313192
15.3191	5	33	0.903760021340363
15.3191	5	40	0.892384064575128
15.3191	5	40	0.883621464672581
15.3191	5	52	0.863826441565609
15.3191	5	52	0.857940063578138
15.3191	5	62	0.836610451851837
15.3191	5	62	0.835110896941707
15.3191	5	70	0.816294290516205
15.3191	5	70	0.810542645076448
15.3191	5	80	0.787736667506681
15.3191	5	80	0.784709405465803
15.3191	5	90	0.766270534774694
15.3191	5	90	0.764295811326362
16.5957	5	0	1
16.5957	5	0	1
16.5957	5	10	0.973688142460442
16.5957	5	10	0.965427001454255
16.5957	5	100	0.743311481033959
16.5957	5	100	0.747389882372154
16.5957	5	110	0.721252100464396
16.5957	5	110	0.723098079429256
16.5957	5	120	0.695356305882735
16.5957	5	120	0.698443454061496
16.5957	5	150	0.615367073730492
16.5957	5	150	0.628063852067742
16.5957	5	20	0.945682320172126
16.5957	5	20	0.939365809481431
16.5957	5	33	0.913072801069296
16.5957	5	33	0.906549538749254
16.5957	5	40	0.893698910308199
16.5957	5	40	0.886340565113759
16.5957	5	52	0.864542163816255
16.5957	5	52	0.861311027775183
16.5957	5	62	0.843250066049113
16.5957	5	62	0.841475441305777
16.5957	5	70	0.821574326880757
16.5957	5	70	0.819359170248035
16.5957	5	80	0.793568504592442
16.5957	5	80	0.79289183541998
16.5957	5	90	0.770166379118645
16.5957	5	90	0.772588273822534
17.8723	5	0	1
17.8723	5	0	1
17.8723	5	10	0.975630168724557
17.8723	5	10	0.965265090547817
17.8723	5	100	0.739045232173528
17.8723	5	100	0.743240713001353
17.8723	5	110	0.717852770430358
17.8723	5	110	0.720291824732077
17.8723	5	120	0.692229157595433
17.8723	5	120	0.695522207537191
17.8723	5	150	0.619018835209936
17.8723	5	150	0.631877251291867
17.8723	5	20	0.948079968458436
17.8723	5	20	0.940412141882741
17.8723	5	33	0.914364688412483
17.8723	5	33	0.906697051992149
17.8723	5	40	0.893557544155552
17.8723	5	40	0.888069630573357
17.8723	5	52	0.864080756458235
17.8723	5	52	0.859570007294129
17.8723	5	62	0.840191072311387
17.8723	5	62	0.840498922599592
17.8723	5	70	0.819191269311336
17.8723	5	70	0.816457409077229
17.8723	5	80	0.790677775329613
17.8723	5	80	0.790776957675233
17.8723	5	90	0.76640277369653
17.8723	5	90	0.768556642822784
19.1489	5	0	1
19.1489	5	0	1
19.1489	5	10	0.978283929025866
19.1489	5	10	0.96727384902301
19.1489	5	100	0.754023116076859
19.1489	5	100	0.757755131153131
19.1489	5	110	0.736505747855091
19.1489	5	110	0.737210310897374
19.1489	5	120	0.710710941902161
19.1489	5	120	0.709938355056538
19.1489	5	150	0.633134025491472
19.1489	5	150	0.640849931703151
19.1489	5	20	0.953451615832371
19.1489	5	20	0.945643260801012
19.1489	5	33	0.921881853322811
