ocnt_batch	ammonium_fluoride_area	ammonium_formate_area
OCNT-2314100-AA-004	3350	1595.5
OCNT-2317939-AA-004	32876.5	2982.5
OCNT-2316659-AA-004	33608	11659
OCNT-2316355-AA-004	4120	2031.5
OCNT-2315076-AA-004	17228	7412
OCNT-2317635-AA-004	2064.5	65
OCNT-2313796-AA-004	297317	138719
OCNT-2328426-AQ-001	306014	240111
OCNT-2317955-AA-004	4519	1756.5
OCNT-2316675-AA-004	140523	46112.5
OCNT-2315396-AA-004	16556.5	4072.5
OCNT-2328826-AA-001	2509.5	1005
OCNT-2314116-AA-004	322646.5	97155.5
OCNT-2315092-AA-004	36106.5	27236
OCNT-0498160-AA-002	27689.5	4503
OCNT-2313812-AA-004	53681.5	20937
OCNT-2317651-AA-004	175894	100477.5
OCNT-2316371-AA-004	24351.5	7893.5
OCNT-0498156-AA-002	183859	85893
OCNT-2315412-AA-004	13468	7303
OCNT-2314132-AA-004	117090	40432
OCNT-2316691-AA-004	51576.5	18709.5
OCNT-2317971-AA-004	13877	1547.5
OCNT-2313828-AA-004	15125.5	5718.5
OCNT-2316387-AA-004	69344.5	37508.5
OCNT-2317667-AA-004	98294	29747.5
OCNT-2315108-AA-004	25800	10641
OCNT-2328443-BA-001	482521	314532.5
OCNT-2314148-AA-004	113207.5	48322
OCNT-2315428-AA-004	20766	6038.5
OCNT-2317987-AA-004	25885.5	9136
OCNT-2316707-AA-004	16909.5	10816
OCNT-0477593-AA-004	1498	390
OCNT-2317683-AA-004	41538.5	7395
OCNT-2313844-AA-004	1942.5	83.5
OCNT-2316403-AA-004	124771	32016.5
OCNT-2315124-AA-004	11996	2051.5
OCNT-2328467-AA-001	443.5	76
OCNT-0494203-AA-002	15805	704
OCNT-2315444-AA-004	109827	55954
OCNT-2316723-AA-004	58891.5	10813.5
OCNT-2314164-AA-004	10150	1588
OCNT-2318003-AA-004	176900	54602
OCNT-2317699-AA-004	154503.5	69332.5
OCNT-2315140-AA-004	5317.5	1192.5
OCNT-2316419-AA-004	9266.5	3703.5
OCNT-2313860-AA-004	10063.5	3341
OCNT-1685194-AA-003	376.5	56
OCNT-2313810-AA-004	170413	40051.5
OCNT-2316015-AA-004	1324	311
OCNT-2314011-AA-004	48110	3993.5
OCNT-2315070-AA-004	295211.5	134911
